Breed,Trait,Trait_Score
Bergamasco Sheepdogs,Shedding Level,1
Bergamasco Sheepdogs,Coat Grooming Frequency,1
Bergamasco Sheepdogs,Drooling Level,2
Bergamasco Sheepdogs,Coat Type,Corded
Bergamasco Sheepdogs,Coat Length,Long
Bergamasco Sheepdogs,Openness To Strangers,3
Bergamasco Sheepdogs,Playfulness Level,3
Bergamasco Sheepdogs,Watchdog/Protective Nature,4
Bergamasco Sheepdogs,Adaptability Level,3
Bergamasco Sheepdogs,Trainability Level,3
Bergamasco Sheepdogs,Energy Level,3
Bergamasco Sheepdogs,Barking Level,1
Bergamasco Sheepdogs,Mental Stimulation Needs,3
Spaniels (Irish Water),Affectionate With Family,5
Spaniels (Irish Water),Good With Young Children,3
Spaniels (Irish Water),Good With Other Dogs,3
Spaniels (Irish Water),Shedding Level,1
Spaniels (Irish Water),Coat Grooming Frequency,3
Spaniels (Irish Water),Drooling Level,2
Spaniels (Irish Water),Coat Type,Curly
Spaniels (Irish Water),Coat Length,Medium
Spaniels (Irish Water),Openness To Strangers,3
Spaniels (Irish Water),Playfulness Level,5
Spaniels (Irish Water),Watchdog/Protective Nature,3
Spaniels (Irish Water),Adaptability Level,4
Spaniels (Irish Water),Trainability Level,5
Spaniels (Irish Water),Energy Level,3
Spaniels (Irish Water),Barking Level,1
Spaniels (Irish Water),Mental Stimulation Needs,4
Polish Lowland Sheepdogs,Affectionate With Family,5
Polish Lowland Sheepdogs,Good With Young Children,3
Polish Lowland Sheepdogs,Good With Other Dogs,3
Polish Lowland Sheepdogs,Shedding Level,2
Polish Lowland Sheepdogs,Coat Grooming Frequency,4
Polish Lowland Sheepdogs,Drooling Level,2
Polish Lowland Sheepdogs,Coat Type,Double
Polish Lowland Sheepdogs,Coat Length,Long
Polish Lowland Sheepdogs,Openness To Strangers,3
Polish Lowland Sheepdogs,Playfulness Level,4
Polish Lowland Sheepdogs,Watchdog/Protective Nature,5
Polish Lowland Sheepdogs,Adaptability Level,5
Polish Lowland Sheepdogs,Trainability Level,4
Polish Lowland Sheepdogs,Energy Level,3
Polish Lowland Sheepdogs,Barking Level,4
Polish Lowland Sheepdogs,Mental Stimulation Needs,4
Otterhounds,Affectionate With Family,5
Otterhounds,Good With Young Children,3
Otterhounds,Good With Other Dogs,3
Otterhounds,Shedding Level,2
Otterhounds,Coat Grooming Frequency,2
Otterhounds,Drooling Level,3
Otterhounds,Coat Type,Rough
Otterhounds,Coat Length,Medium
Otterhounds,Openness To Strangers,4
Otterhounds,Playfulness Level,3
Otterhounds,Watchdog/Protective Nature,3
Otterhounds,Adaptability Level,4
Otterhounds,Trainability Level,4
Otterhounds,Energy Level,3
Otterhounds,Barking Level,5
Otterhounds,Mental Stimulation Needs,3
Kuvaszok,Affectionate With Family,5
Kuvaszok,Good With Young Children,3
Kuvaszok,Good With Other Dogs,3
Kuvaszok,Shedding Level,3
Kuvaszok,Coat Grooming Frequency,2
Kuvaszok,Drooling Level,2
Kuvaszok,Coat Type,Double
Kuvaszok,Coat Length,Medium
Kuvaszok,Openness To Strangers,3
Kuvaszok,Playfulness Level,3
Kuvaszok,Watchdog/Protective Nature,5
Kuvaszok,Adaptability Level,4
Kuvaszok,Trainability Level,5
Kuvaszok,Energy Level,3
Kuvaszok,Barking Level,3
Kuvaszok,Mental Stimulation Needs,3
Komondorok,Affectionate With Family,5
Komondorok,Good With Young Children,3
Komondorok,Good With Other Dogs,2
Komondorok,Shedding Level,1
Komondorok,Coat Grooming Frequency,4
Komondorok,Drooling Level,2
Komondorok,Coat Type,Corded
Komondorok,Coat Length,Long
Komondorok,Openness To Strangers,3
Komondorok,Playfulness Level,3
Komondorok,Watchdog/Protective Nature,5
Komondorok,Adaptability Level,3
Komondorok,Trainability Level,4
Komondorok,Energy Level,3
Komondorok,Barking Level,3
Komondorok,Mental Stimulation Needs,3
Cirnechi dell’Etna,Affectionate With Family,4
Cirnechi dell’Etna,Good With Young Children,3
Cirnechi dell’Etna,Good With Other Dogs,4
Cirnechi dell’Etna,Shedding Level,1
Cirnechi dell’Etna,Coat Grooming Frequency,1
Cirnechi dell’Etna,Drooling Level,1
Cirnechi dell’Etna,Coat Type,Smooth
Cirnechi dell’Etna,Coat Length,Short
Cirnechi dell’Etna,Openness To Strangers,3
Cirnechi dell’Etna,Playfulness Level,4
Cirnechi dell’Etna,Watchdog/Protective Nature,3
Cirnechi dell’Etna,Adaptability Level,4
Cirnechi dell’Etna,Trainability Level,4
Cirnechi dell’Etna,Energy Level,3
Cirnechi dell’Etna,Barking Level,2
Cirnechi dell’Etna,Mental Stimulation Needs,3
Pharaoh Hounds,Affectionate With Family,5
Pharaoh Hounds,Good With Young Children,3
Pharaoh Hounds,Good With Other Dogs,5
Pharaoh Hounds,Shedding Level,3
Pharaoh Hounds,Coat Grooming Frequency,2
Pharaoh Hounds,Drooling Level,1
Pharaoh Hounds,Coat Type,Smooth
Pharaoh Hounds,Coat Length,Short
Pharaoh Hounds,Openness To Strangers,3
Pharaoh Hounds,Playfulness Level,3
Pharaoh Hounds,Watchdog/Protective Nature,3
Pharaoh Hounds,Adaptability Level,3
Pharaoh Hounds,Trainability Level,4
Pharaoh Hounds,Energy Level,4
Pharaoh Hounds,Barking Level,3
Pharaoh Hounds,Mental Stimulation Needs,4
Dandie Dinmont Terriers,Affectionate With Family,4
Dandie Dinmont Terriers,Good With Young Children,3
Dandie Dinmont Terriers,Good With Other Dogs,3
Dandie Dinmont Terriers,Shedding Level,2
Dandie Dinmont Terriers,Coat Grooming Frequency,3
Dandie Dinmont Terriers,Drooling Level,1
Dandie Dinmont Terriers,Coat Type,Double
Dandie Dinmont Terriers,Coat Length,Medium
Dandie Dinmont Terriers,Openness To Strangers,4
Dandie Dinmont Terriers,Playfulness Level,3
Dandie Dinmont Terriers,Watchdog/Protective Nature,4
Dandie Dinmont Terriers,Adaptability Level,3
Dandie Dinmont Terriers,Trainability Level,4
Dandie Dinmont Terriers,Energy Level,3
Dandie Dinmont Terriers,Barking Level,3
Dandie Dinmont Terriers,Mental Stimulation Needs,3
Pyrenean Shepherds,Affectionate With Family,5
Pyrenean Shepherds,Good With Young Children,3
Pyrenean Shepherds,Good With Other Dogs,3
Pyrenean Shepherds,Shedding Level,3
Pyrenean Shepherds,Coat Grooming Frequency,2
Pyrenean Shepherds,Drooling Level,2
Pyrenean Shepherds,Coat Type,Smooth
Pyrenean Shepherds,Coat Length,Medium
Pyrenean Shepherds,Openness To Strangers,3
Pyrenean Shepherds,Playfulness Level,5
Pyrenean Shepherds,Watchdog/Protective Nature,5
Pyrenean Shepherds,Adaptability Level,4
Pyrenean Shepherds,Trainability Level,5
Pyrenean Shepherds,Energy Level,5
Pyrenean Shepherds,Barking Level,4
Pyrenean Shepherds,Mental Stimulation Needs,5
Skye Terriers,Affectionate With Family,5
Skye Terriers,Good With Young Children,3
Skye Terriers,Good With Other Dogs,3
Skye Terriers,Shedding Level,3
Skye Terriers,Coat Grooming Frequency,3
Skye Terriers,Drooling Level,1
Skye Terriers,Coat Type,Double
Skye Terriers,Coat Length,Long
Skye Terriers,Openness To Strangers,3
Skye Terriers,Playfulness Level,3
Skye Terriers,Watchdog/Protective Nature,3
Skye Terriers,Adaptability Level,3
Skye Terriers,Trainability Level,3
Skye Terriers,Energy Level,3
Skye Terriers,Barking Level,3
Skye Terriers,Mental Stimulation Needs,3
Canaan Dogs,Affectionate With Family,3
Canaan Dogs,Good With Young Children,3
Canaan Dogs,Good With Other Dogs,3
Canaan Dogs,Shedding Level,4
Canaan Dogs,Coat Grooming Frequency,2
Canaan Dogs,Drooling Level,1
Canaan Dogs,Coat Type,Smooth
Canaan Dogs,Coat Length,Short
Canaan Dogs,Openness To Strangers,3
Canaan Dogs,Playfulness Level,3
Canaan Dogs,Watchdog/Protective Nature,4
Canaan Dogs,Adaptability Level,3
Canaan Dogs,Trainability Level,4
Canaan Dogs,Energy Level,3
Canaan Dogs,Barking Level,5
Canaan Dogs,Mental Stimulation Needs,3
American English Coonhounds,Affectionate With Family,3
American English Coonhounds,Good With Young Children,3
American English Coonhounds,Good With Other Dogs,5
American English Coonhounds,Shedding Level,2
American English Coonhounds,Coat Grooming Frequency,1
American English Coonhounds,Drooling Level,1
American English Coonhounds,Coat Type,Smooth
American English Coonhounds,Coat Length,Short
American English Coonhounds,Openness To Strangers,3
American English Coonhounds,Playfulness Level,3
American English Coonhounds,Watchdog/Protective Nature,3
American English Coonhounds,Adaptability Level,3
American English Coonhounds,Trainability Level,3
American English Coonhounds,Energy Level,4
American English Coonhounds,Barking Level,4
American English Coonhounds,Mental Stimulation Needs,3
Chinooks,Affectionate With Family,4
Chinooks,Good With Young Children,5
Chinooks,Good With Other Dogs,5
Chinooks,Shedding Level,3
Chinooks,Coat Grooming Frequency,3
Chinooks,Drooling Level,1
Chinooks,Coat Type,Smooth
Chinooks,Coat Length,Medium
Chinooks,Openness To Strangers,3
Chinooks,Playfulness Level,3
Chinooks,Watchdog/Protective Nature,4
Chinooks,Adaptability Level,4
Chinooks,Trainability Level,4
Chinooks,Energy Level,3
Chinooks,Barking Level,5
Chinooks,Mental Stimulation Needs,3
Finnish Spitz,Affectionate With Family,5
Finnish Spitz,Good With Young Children,5
Finnish Spitz,Good With Other Dogs,4
Finnish Spitz,Shedding Level,3
Finnish Spitz,Coat Grooming Frequency,2
Finnish Spitz,Drooling Level,2
Finnish Spitz,Coat Type,Double
Finnish Spitz,Coat Length,Medium
Finnish Spitz,Openness To Strangers,3
Finnish Spitz,Playfulness Level,3
Finnish Spitz,Watchdog/Protective Nature,3
Finnish Spitz,Adaptability Level,4
Finnish Spitz,Trainability Level,3
Finnish Spitz,Energy Level,5
Finnish Spitz,Barking Level,5
Finnish Spitz,Mental Stimulation Needs,4
Grand Basset Griffon Vendeens,Affectionate With Family,5
Grand Basset Griffon Vendeens,Good With Young Children,3
Grand Basset Griffon Vendeens,Good With Other Dogs,4
Grand Basset Griffon Vendeens,Shedding Level,3
Grand Basset Griffon Vendeens,Coat Grooming Frequency,2
Grand Basset Griffon Vendeens,Drooling Level,2
Grand Basset Griffon Vendeens,Coat Type,Wiry
Grand Basset Griffon Vendeens,Coat Length,Medium
Grand Basset Griffon Vendeens,Openness To Strangers,5
Grand Basset Griffon Vendeens,Playfulness Level,4
Grand Basset Griffon Vendeens,Watchdog/Protective Nature,3
Grand Basset Griffon Vendeens,Adaptability Level,4
Grand Basset Griffon Vendeens,Trainability Level,3
Grand Basset Griffon Vendeens,Energy Level,5
Grand Basset Griffon Vendeens,Barking Level,4
Grand Basset Griffon Vendeens,Mental Stimulation Needs,4
Sloughis,Affectionate With Family,4
Sloughis,Good With Young Children,3
Sloughis,Good With Other Dogs,3
Sloughis,Shedding Level,3
Sloughis,Coat Grooming Frequency,1
Sloughis,Drooling Level,1
Sloughis,Coat Type,Smooth
Sloughis,Coat Length,Short
Sloughis,Openness To Strangers,2
Sloughis,Playfulness Level,3
Sloughis,Watchdog/Protective Nature,2
Sloughis,Adaptability Level,3
Sloughis,Trainability Level,3
Sloughis,Energy Level,4
Sloughis,Barking Level,2
Sloughis,Mental Stimulation Needs,3
Harriers,Affectionate With Family,5
Harriers,Good With Young Children,5
Harriers,Good With Other Dogs,5
Harriers,Shedding Level,3
Harriers,Coat Grooming Frequency,1
Harriers,Drooling Level,2
Harriers,Coat Type,Double
Harriers,Coat Length,Short
Harriers,Openness To Strangers,4
Harriers,Playfulness Level,4
Harriers,Watchdog/Protective Nature,3
Harriers,Adaptability Level,4
Harriers,Trainability Level,4
Harriers,Energy Level,4
Harriers,Barking Level,5
Harriers,Mental Stimulation Needs,4
Cesky Terriers,Affectionate With Family,4
Cesky Terriers,Good With Young Children,5
Cesky Terriers,Good With Other Dogs,3
Cesky Terriers,Shedding Level,2
Cesky Terriers,Coat Grooming Frequency,2
Cesky Terriers,Drooling Level,1
Cesky Terriers,Coat Type,Wavy
Cesky Terriers,Coat Length,Medium
Cesky Terriers,Openness To Strangers,4
Cesky Terriers,Playfulness Level,3
Cesky Terriers,Watchdog/Protective Nature,3
Cesky Terriers,Adaptability Level,4
Cesky Terriers,Trainability Level,3
Cesky Terriers,Energy Level,3
Cesky Terriers,Barking Level,3
Cesky Terriers,Mental Stimulation Needs,3
American Foxhounds,Affectionate With Family,3
American Foxhounds,Good With Young Children,5
American Foxhounds,Good With Other Dogs,5
American Foxhounds,Shedding Level,3
American Foxhounds,Coat Grooming Frequency,1
American Foxhounds,Drooling Level,1
American Foxhounds,Coat Type,Smooth
American Foxhounds,Coat Length,Short
American Foxhounds,Openness To Strangers,3
American Foxhounds,Playfulness Level,3
American Foxhounds,Watchdog/Protective Nature,3
American Foxhounds,Adaptability Level,3
American Foxhounds,Trainability Level,3
American Foxhounds,Energy Level,4
American Foxhounds,Barking Level,5
American Foxhounds,Mental Stimulation Needs,3
Azawakhs,Affectionate With Family,3
Azawakhs,Good With Young Children,3
Azawakhs,Good With Other Dogs,3
Azawakhs,Shedding Level,2
Azawakhs,Coat Grooming Frequency,2
Azawakhs,Drooling Level,1
Azawakhs,Coat Type,Smooth
Azawakhs,Coat Length,Short
Azawakhs,Openness To Strangers,1
Azawakhs,Playfulness Level,3
Azawakhs,Watchdog/Protective Nature,3
Azawakhs,Adaptability Level,3
Azawakhs,Trainability Level,2
Azawakhs,Energy Level,3
Azawakhs,Barking Level,1
Azawakhs,Mental Stimulation Needs,3
English Foxhounds,Affectionate With Family,5
English Foxhounds,Good With Young Children,5
English Foxhounds,Good With Other Dogs,5
English Foxhounds,Shedding Level,3
English Foxhounds,Coat Grooming Frequency,1
English Foxhounds,Drooling Level,2
English Foxhounds,Coat Type,Double
English Foxhounds,Coat Length,Short
English Foxhounds,Openness To Strangers,4
English Foxhounds,Playfulness Level,4
English Foxhounds,Watchdog/Protective Nature,3
English Foxhounds,Adaptability Level,4
English Foxhounds,Trainability Level,4
English Foxhounds,Energy Level,4
English Foxhounds,Barking Level,5
English Foxhounds,Mental Stimulation Needs,4
Norwegian Lundehunds,Affectionate With Family,3
Norwegian Lundehunds,Good With Young Children,3
Norwegian Lundehunds,Good With Other Dogs,3
Norwegian Lundehunds,Shedding Level,3
Norwegian Lundehunds,Coat Grooming Frequency,2
Norwegian Lundehunds,Drooling Level,1
Norwegian Lundehunds,Coat Type,Double
Norwegian Lundehunds,Coat Length,Short
Norwegian Lundehunds,Openness To Strangers,3
Norwegian Lundehunds,Playfulness Level,3
Norwegian Lundehunds,Watchdog/Protective Nature,3
Norwegian Lundehunds,Adaptability Level,3
Norwegian Lundehunds,Trainability Level,3
Norwegian Lundehunds,Energy Level,3
Norwegian Lundehunds,Barking Level,3
Norwegian Lundehunds,Mental Stimulation Needs,3
